,
,■ 欢迎使用匿名科创地面站!!  匿名科创: www.anotc.com  匿名论坛: www.anobbs.com ■,
ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z,Angle_ROL,Angle_PIT,Angle_YAW,
-89,-189,4087,1,0,0,0,10,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-189,4087,0,0,0,0,10,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-189,4087,0,0,0,0,10,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-189,4087,0,0,0,0,11,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-188,4087,0,0,0,0,11,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-188,4087,1,0,0,0,11,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-188,4087,-1,0,0,0,10,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-188,4087,0,0,0,0,10,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-188,4087,0,0,0,0,10,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-188,4088,0,0,0,0,8,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-188,4088,0,0,0,0,8,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-188,4088,2,0,0,0,8,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-188,4088,0,1,0,0,7,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-188,4088,0,1,0,0,7,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-187,4088,0,-1,0,0,8,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-187,4088,0,0,0,0,8,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-187,4088,1,0,0,0,8,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-187,4088,0,0,0,0,7,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-187,4088,0,0,0,0,7,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-187,4088,0,0,0,0,7,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-187,4087,0,0,0,0,7,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-187,4087,0,0,0,0,7,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-188,4087,0,-1,0,0,7,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-188,4087,0,0,0,0,5,0,-2.64000010490417,-1.25,0.170000001788139,
-89,-188,4087,0,0,0,0,5,0,-2.64000010490417,-1.25,0.180000007152557,
-89,-188,4087,0,0,0,0,5,0,-2.64000010490417,-1.25,0.180000007152557,
-88,-188,4087,0,0,0,0,6,0,-2.64000010490417,-1.25,0.180000007152557,
-88,-188,4087,0,0,0,0,6,0,-2.64000010490417,-1.25,0.180000007152557,
-88,-188,4087,1,0,0,0,6,0,-2.64000010490417,-1.25,0.180000007152557,
-88,-188,4087,0,0,0,0,6,0,-2.64000010490417,-1.25,0.180000007152557,
-88,-188,4087,0,0,0,0,6,0,-2.64000010490417,-1.25,0.180000007152557,
-88,-187,4088,0,0,0,0,5,0,-2.64000010490417,-1.25,0.180000007152557,
-88,-187,4088,1,0,0,0,5,0,-2.64000010490417,-1.25,0.180000007152557,
-89,-187,4088,1,0,0,0,5,0,-2.64000010490417,-1.25,0.180000007152557,
-89,-187,4087,0,0,0,0,5,0,-2.64000010490417,-1.25,0.180000007152557,
-89,-187,4087,0,0,0,0,5,0,-2.64000010490417,-1.25,0.180000007152557,
-89,-187,4087,0,0,0,0,5,0,-2.64000010490417,-1.25,0.180000007152557,
-90,-187,4088,0,0,0,0,6,0,-2.64000010490417,-1.25,0.180000007152557,
-90,-187,4088,0,0,0,0,6,0,-2.64000010490417,-1.25,0.180000007152557,
-90,-187,4088,0,0,0,0,6,0,-2.64000010490417,-1.25,0.180000007152557,
-90,-187,4088,0,0,0,0,5,0,-2.64000010490417,-1.25,0.180000007152557,
-90,-187,4088,0,0,0,0,5,0,-2.64000010490417,-1.25,0.180000007152557,
-90,-188,4088,0,0,0,0,6,0,-2.64000010490417,-1.25,0.180000007152557,
-90,-188,4088,0,0,0,0,6,0,-2.64000010490417,-1.25,0.180000007152557,
-90,-188,4088,1,0,0,0,6,0,-2.64000010490417,-1.25,0.180000007152557,
-90,-188,4089,0,0,0,0,6,0,-2.64000010490417,-1.25,0.180000007152557,
-90,-188,4089,0,0,0,0,4,0,-2.64000010490417,-1.25,0.180000007152557,
-90,-188,4089,0,0,0,0,4,0,-2.64000010490417,-1.25,0.180000007152557,
